标签,一级分类
文本生成,内容创作与自媒体
文章写作,内容创作与自媒体
文案生成,内容创作与自媒体
小说创作,内容创作与自媒体
脚本生成,内容创作与自媒体
社交媒体文案,内容创作与自媒体
视频生成,内容创作与自媒体
视频编辑,内容创作与自媒体
自动字幕,内容创作与自媒体
数字人,内容创作与自媒体
音乐生成,内容创作与自媒体
语音合成,内容创作与自媒体
播客制作,内容创作与自媒体
图像生成,内容创作与自媒体
图片编辑,内容创作与自媒体
图片修复,内容创作与自媒体
Logo设计,内容创作与自媒体
海报设计,内容创作与自媒体
文档总结,办公与效率提升
文档翻译,办公与效率提升
文档校对,办公与效率提升
PDF处理,办公与效率提升
PPT生成,办公与效率提升
PPT美化,办公与效率提升
演讲稿生成,办公与效率提升
Excel公式,办公与效率提升
数据清洗,办公与效率提升
图表生成,办公与效率提升
会议纪要,办公与效率提升
邮件生成,办公与效率提升
日程管理,办公与效率提升
文献综述,学术与教育
论文润色,学术与教育
论文降重,学术与教育
参考文献生成,学术与教育
考公刷题,学术与教育
考研辅导,学术与教育
错题本,学术与教育
外语学习,学术与教育
编程教学,学术与教育
问答助手,学术与教育
代码生成,数据与编程
代码补全,数据与编程
代码调试,数据与编程
代码解释,数据与编程
单元测试,数据与编程
SQL生成,数据与编程
数据可视化,数据与编程
报表生成,数据与编程
广告文案,营销与商业
SEO优化,营销与商业
营销邮件,营销与商业
智能客服,营销与商业
聊天机器人,营销与商业
竞品分析,营销与商业
舆情监控,营销与商业
简历优化,生活与创意
模拟面试,生活与创意
职业规划,生活与创意
个人助理,生活与创意
灵感记录,生活与创意
AI聊天,生活与创意
故事生成,生活与创意
界面设计,设计创意
原型设计,设计创意
3D建模,设计创意
材质生成,设计创意
户型设计,设计创意
装修设计,设计创意
OCR识别,工具与基础设施
语音识别,工具与基础设施
语音转文字,工具与基础设施
文字转语音,工具与基础设施
翻译工具,工具与基础设施
情感分析,工具与基础设施
数据标注,工具与基础设施
模型训练,工具与基础设施
API集成,工具与基础设施
工作流自动化,工具与基础设施
网页抓取,工具与基础设施
表单生成,工具与基础设施
数据分析,工具与基础设施
预测建模,工具与基础设施
推荐系统,工具与基础设施
知识图谱,工具与基础设施
语义搜索,工具与基础设施
文档解析,工具与基础设施
信息提取,工具与基础设施
知识库管理,工具与基础设施
学习助手,学术与教育
作业批改,学术与教育
考试辅助,学术与教育
论文写作,学术与教育
学术搜索,学术与教育
科研助手,学术与教育
表格处理,办公与效率提升
报告生成,办公与效率提升
数据录入,办公与效率提升
逻辑推理,生活与创意
创意生成,生活与创意
头脑风暴,生活与创意
命名生成,生活与创意
口号生成,营销与商业
品牌设计,设计创意
配色方案,设计创意
字体设计,设计创意
视频转GIF,内容创作与自媒体
视频压缩,内容创作与自媒体
音频编辑,内容创作与自媒体
音频降噪,内容创作与自媒体
背景去除,内容创作与自媒体
对象移除,内容创作与自媒体
人脸替换,内容创作与自媒体
姿势检测,工具与基础设施
文字识别,工具与基础设施
手写识别,工具与基础设施
表格识别,工具与基础设施
发票识别,工具与基础设施
身份证识别,工具与基础设施
合同审核,办公与效率提升
法律咨询,办公与效率提升
代码审查,数据与编程
性能优化,数据与编程
Bug检测,数据与编程
自动化测试,数据与编程
部署工具,数据与编程
数据库管理,数据与编程
服务器监控,工具与基础设施
日志分析,工具与基础设施
安全检测,工具与基础设施
漏洞扫描,工具与基础设施
加密工具,工具与基础设施
密码管理,工具与基础设施
备份恢复,工具与基础设施
文件转换,工具与基础设施
格式转换,工具与基础设施
压缩解压,工具与基础设施
批量处理,工具与基础设施
定时任务,工具与基础设施
通知推送,工具与基础设施
订阅管理,工具与基础设施
表单构建,工具与基础设施
调查问卷,工具与基础设施
投票系统,工具与基础设施
预约管理,办公与效率提升
客户管理,营销与商业
销售管理,营销与商业
库存管理,营销与商业
订单处理,营销与商业
发票生成,办公与效率提升
支付集成,工具与基础设施
物流跟踪,工具与基础设施
售后客服,营销与商业
工单系统,营销与商业
知识库,办公与效率提升
帮助文档,办公与效率提升
用户手册,办公与效率提升
教程生成,学术与教育
代码示例,数据与编程
项目生成,数据与编程
文件管理,工具与基础设施
云存储,工具与基础设施
同步备份,工具与基础设施
远程协作,办公与效率提升
白板工具,办公与效率提升
思维导图,办公与效率提升
流程图制作,办公与效率提升
原型演示,设计创意
用户测试,工具与基础设施
数据分析报告,数据与编程
可视化图表,数据与编程
仪表盘,数据与编程
监控报警,工具与基础设施
A/B测试,营销与商业
用户行为分析,营销与商业
漏斗分析,营销与商业
留存分析,营销与商业
归因分析,营销与商业
预测分析,数据与编程
关联规则,数据与编程
聚类分析,数据与编程
回归分析,数据与编程
时间序列,数据与编程
自然语言处理,工具与基础设施
图像分类,工具与基础设施
目标检测,工具与基础设施
语义分割,工具与基础设施
姿态估计,工具与基础设施
视频分析,工具与基础设施
音频分析,工具与基础设施
情感计算,工具与基础设施
推荐优化,数据与编程
排序学习,数据与编程
强化学习,工具与基础设施
迁移学习,工具与基础设施
联邦学习,工具与基础设施
模型压缩,工具与基础设施
模型部署,工具与基础设施
特征工程,工具与基础设施
超参数优化,工具与基础设施
实验管理,工具与基础设施
版本控制,数据与编程
协作平台,办公与效率提升
代码托管,数据与编程
持续集成,数据与编程
容器化,数据与编程
微服务,数据与编程
无服务器,数据与编程
边缘计算,工具与基础设施
物联网,工具与基础设施
区块链,工具与基础设施
智能合约,数据与编程
去中心化,工具与基础设施
隐私计算,工具与基础设施
同态加密,工具与基础设施
零知识证明,工具与基础设施
